Welcome to the profile statistics browser.
cProfile.out% Wed Jan 15 17:53:44 2025    cProfile.out

         53266001 function calls (53251305 primitive calls) in 21.731 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       32    0.000    0.000    0.000    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/warnings.py:477(__exit__)
       33    0.000    0.000    0.000    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/contextlib.py:102(__init__)
       33    0.000    0.000    0.001    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/contextlib.py:130(__enter__)
       33    0.000    0.000    0.000    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/contextlib.py:139(__exit__)
       33    0.000    0.000    0.000    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/contextlib.py:279(helper)
       20    0.000    0.000    0.000    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/contextlib.py:252(contextmanager)
      134    0.000    0.000    0.000    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/contextlib.py:420(__init__)
      134    0.000    0.000    0.000    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/contextlib.py:423(__enter__)
      134    0.000    0.000    0.000    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/contextlib.py:426(__exit__)
      683    0.001    0.000    0.002    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/functools.py:35(update_wrapper)
      644    0.000    0.000    0.000    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/functools.py:65(wraps)
      203    0.000    0.000    0.000    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/collections/__init__.py:402(<genexpr>)
       41    0.001    0.000    0.002    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/collections/__init__.py:328(namedtuple)
      435    0.000    0.000    0.001    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/re.py:202(sub)
     5563    0.001    0.000    0.020    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/re.py:197(search)
      512    0.000    0.000    0.001    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/re.py:187(match)
       23    0.000    0.000    0.000    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/functools.py:518(decorating_function)
       37    0.000    0.000    0.000    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/functools.py:479(lru_cache)
       11    0.000    0.000    0.000    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/functools.py:651(cache)
        4    0.000    0.000    0.000    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/functools.py:841(_is_valid_dispatch_type)
        2    0.000    0.000    0.000    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/functools.py:853(<lambda>)
        4    0.000    0.000    0.000    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/functools.py:844(register)
        2    0.000    0.000    0.000    0.000 /Users/francesco/.pyenv/versions/3.10.13/lib/python3.10/functools.py:800(singledispatch)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
  3377164    0.174    0.000    0.174    0.000 {built-in method math.atan2}
      462    0.000    0.000    0.000    0.000 {built-in method math.cos}
        1    0.000    0.000    0.000    0.000 {built-in method math.exp}
       48    0.000    0.000    0.000    0.000 {built-in method math.floor}
        2    0.000    0.000    0.000    0.000 {built-in method math.log}
      462    0.000    0.000    0.000    0.000 {built-in method math.sin}
     8970    0.000    0.000    0.000    0.000 {built-in method math.sqrt}
        9    0.006    0.001    0.006    0.001 {built-in method _posixsubprocess.fork_exec}
        3    0.000    0.000    0.000    0.000 {method 'toordinal' of 'datetime.date' objects}
       18    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.000    0.000 {method 'close' of 'select.kqueue' objects}
      574    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
       45    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        8    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 {built-in method maketrans}
        1    0.000    0.000    0.000    0.000 {method 'startswith' of 'bytes' objects}
      746    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      201    0.000    0.000    0.000    0.000 {method 'values' of 'mappingproxy' objects}
      166    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
        3    0.000    0.000    0.000    0.000 {method 'copy' of 'mappingproxy' objects}
       97    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        1    0.000    0.000    0.000    0.000 {method 'clear' of 'list' objects}
        9    0.000    0.000    0.000    0.000 {method 'copy' of 'list' objects}
   261223    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
       55    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
     1332    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
     9109    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
        8    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
       14    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
        4    0.000    0.000    0.000    0.000 {method 'count' of 'list' objects}
       27    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
       15    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
      933    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      792    0.000    0.000    0.000    0.000 {function RcParams.__getitem__ at 0x10365fbe0}
    11628    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
     2041    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
     1130    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 {method 'popitem' of 'dict' objects}
       56    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     1135    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
       32    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
1503/1333    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      113    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       33    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
       69    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
        5    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
     2640    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
